C:\Users\realj\Documents\Car\IMG\center_2024_01_25_22_48_25_466.jpg,C:\Users\realj\Documents\Car\IMG\left_2024_01_25_22_48_25_466.jpg,C:\Users\realj\Documents\Car\IMG\right_2024_01_25_22_48_25_466.jpg,0,0,0,9.065076E-05
C:\Users\realj\Documents\Car\IMG\center_2024_01_25_22_48_25_543.jpg,C:\Users\realj\Documents\Car\IMG\left_2024_01_25_22_48_25_543.jpg,C:\Users\realj\Documents\Car\IMG\right_2024_01_25_22_48_25_543.jpg,0,0,0,0.0001155006
C:\Users\realj\Documents\Car\IMG\center_2024_01_25_22_48_25_622.jpg,C:\Users\realj\Documents\Car\IMG\left_2024_01_25_22_48_25_622.jpg,C:\Users\realj\Documents\Car\IMG\right_2024_01_25_22_48_25_622.jpg,0,0,0,0.0001317681
C:\Users\realj\Documents\Car\IMG\center_2024_01_25_22_48_25_700.jpg,C:\Users\realj\Documents\Car\IMG\left_2024_01_25_22_48_25_700.jpg,C:\Users\realj\Documents\Car\IMG\right_2024_01_25_22_48_25_700.jpg,0,0,0,0.0001614422
C:\Users\realj\Documents\Car\IMG\center_2024_01_25_22_48_25_769.jpg,C:\Users\realj\Documents\Car\IMG\left_2024_01_25_22_48_25_769.jpg,C:\Users\realj\Documents\Car\IMG\right_2024_01_25_22_48_25_769.jpg,0,0,0,0.0002274444
C:\Users\realj\Documents\Car\IMG\center_2024_01_25_22_48_25_847.jpg,C:\Users\realj\Documents\Car\IMG\left_2024_01_25_22_48_25_847.jpg,C:\Users\realj\Documents\Car\IMG\right_2024_01_25_22_48_25_847.jpg,0,0,0,3.666363E-05
C:\Users\realj\Documents\Car\IMG\center_2024_01_25_22_48_25_922.jpg,C:\Users\realj\Documents\Car\IMG\left_2024_01_25_22_48_25_922.jpg,C:\Users\realj\Documents\Car\IMG\right_2024_01_25_22_48_25_922.jpg,0,0,0,3.59757E-05
C:\Users\realj\Documents\Car\IMG\center_2024_01_25_22_48_26_000.jpg,C:\Users\realj\Documents\Car\IMG\left_2024_01_25_22_48_26_000.jpg,C:\Users\realj\Documents\Car\IMG\right_2024_01_25_22_48_26_000.jpg,0,0,0,5.86954E-05
C:\Users\realj\Documents\Car\IMG\center_2024_01_25_22_48_26_068.jpg,C:\Users\realj\Documents\Car\IMG\left_2024_01_25_22_48_26_068.jpg,C:\Users\realj\Documents\Car\IMG\right_2024_01_25_22_48_26_068.jpg,0,0,0,2.13154E-06
C:\Users\realj\Documents\Car\IMG\center_2024_01_25_22_48_26_147.jpg,C:\Users\realj\Documents\Car\IMG\left_2024_01_25_22_48_26_147.jpg,C:\Users\realj\Documents\Car\IMG\right_2024_01_25_22_48_26_147.jpg,0,0,0,8.888892E-05
